ORF,adjCMR
k141_223809_1,0.4261172761043951
k141_179853_1,0.11889198074023864
k141_717324_1,0.032722563506487695
k141_404147_1,0.15286111809459255
k141_986318_3,0.0
k141_136202_1,0.15643681676347188
k141_1165479_1,0.31433671166933597
k141_1120939_1,0.17484114814740975
k141_1031725_1,0.21063539894924166
k141_1255066_1,0.19059019813320696
k141_405416_2,0.0
k141_137080_1,0.12442184030955204
k141_943589_1,0.170862726812319
k141_361999_1,0.23685511788094415
k141_899639_1,0.31591297739549123
k141_854630_2,0.46642238598093616
k141_810708_1,0.2972299518505966
k141_586559_1,0.3837652542881121
k141_1301990_1,0.3289729564171652
k141_273345_5,0.0
k141_587390_1,0.3101529932354052
k141_1571853_1,0.10288729102520651
k141_1303051_1,0.11889198074023864
k141_185611_1,0.08629256666630222
k141_1214612_1,0.36448636431314035
k141_231061_1,0.16212542828214357
k141_231317_1,0.22606221690045372
k141_1260482_1,0.4409811649274306
k141_141948_1,0.19490488645940757
k141_321145_2,0.06605110041124368
k141_679649_2,0.5769757888864522
k141_98012_1,0.15396083836865435
k141_1485498_1,0.3467682771590293
k141_187764_1,0.2040307296601553
k141_1261798_3,0.3050517926887702
k141_322410_1,0.644695951901294
k141_680784_1,0.29116403446589056
k141_1216766_1,0.723573366948511
k141_860091_1,0.3071850220082721
k141_188687_1,0.07698041918432717
k141_1486642_1,0.2473300329267738
k141_188830_1,0.6363232772012772
k141_413225_1,0.26975491428457504
k141_1263002_1,0.39702978969824215
k141_1352608_2,0.6312848534879927
k141_682185_1,0.3715374398132458
k141_369068_2,2.1427509375224365
k141_1129978_1,0.21188669834894017
k141_1308743_1,0.20205779978020852
k141_459774_1,0.19354508492596983
k141_1174860_2,0.5827381591211697
k141_772681_1,0.21400556533242954
k141_1399613_2,0.7295644272696461
k141_1131254_1,0.5117524388384186
k141_1489527_1,0.16774363619291097
k141_1042592_2,0.7926132049349243
k141_1042592_3,0.36582147920073427
k141_639919_1,0.23261474492655382
k141_102607_1,0.7605589944412325
