ORF,adjCMR
k141_1607577_1,0.0
k141_3885024_1,0.727319269861258
k141_1607703_1,0.4580306659730109
k141_1607722_1,3.0165287097173903
k141_536045_1,0.1892881833868055
k141_1340118_1,0.9247516459209563
k141_2679666_1,0.1962988568455761
k141_4287109_1,0.28735314586430716
k141_3081993_1,0.6337039182949576
k141_1474606_1,0.04591644052452213
k141_4153691_1,3.982580358416709
k141_2412867_1,0.21434103118800038
k141_3485016_1,0.5213182755571037
k141_3485028_22,0.6743391533154945
k141_3485029_1,0.4581835467026414
k141_2279608_1,0.08899369815946827
k141_4021323_1,0.10958789564499267
k141_1342392_1,0.5638371420032505
k141_1342399_1,0.12665606388381842
k141_1209312_1,0.3264535336670994
k141_2683008_1,0.6108845918392359
k141_1611332_1,0.29372304318642234
k141_3486740_1,0.8805494606917852
k141_3486742_1,0.44167242790254624
k141_1343653_2,0.24496117850057186
k141_3487328_1,0.40486639224400073
k141_3487340_1,0.657707854594009
k141_2014059_1,0.7681259615696456
k141_4290676_1,0.18358673207997403
k141_4023740_1,0.10743383381413285
k141_808431_1,0.0
k141_4924_1,0.8147065730905075
k141_2550798_1,0.20873559948818965
k141_2416745_1,0.4968814813903645
k141_675882_1,2.0300264799445333
k141_4560496_1,0.0
k141_4560503_1,0.46052429982521587
k141_1212744_1,0.16210317832593452
k141_2016146_1,0.6221117734480986
k141_3221753_1,0.1521979312366882
k141_1481230_1,0.8108314721195997
k141_275282_1,0.26782264245154397
k141_4695454_1,0.20098576775340585
k141_3357292_1,1.17629085390372
k141_1482190_1,0.5472897476183725
k141_2822290_1,1.2029762181029877
k141_2822320_1,0.8229054709342176
k141_2286984_1,0.26898847112861834
k141_946931_1,1.184057998206826
k141_946946_1,0.26782264245154397
k141_2688847_1,8.749011182128378
k141_3224172_1,0.07887007641116896
k141_2019229_1,0.5447293277464736
k141_2153696_1,0.32151154678200056
k141_2153700_1,0.43842483652090986
k141_813736_1,0.6072995883660011
k141_1751869_1,0.05216603479163932
k141_1618393_1,0.0839799686856954
k141_1618409_1,0.5007332758197471
k141_948886_1,0.06721102163734399
k141_4029941_1,0.5584001409910763
k141_4431339_1,0.6393978752775232
k141_4163732_1,0.8057537536059964
k141_3762897_1,0.5420525251531249
k141_1888064_1,0.4381105534839773
k141_1486484_1,0.17982377421746523
k141_547923_1,0.11521889423544684
k141_547932_1,0.24356935362272772
k141_547952_1,0.6221117734480986
k141_547967_1,1.8928818338680553
k141_4164448_1,2.5636203967386924
k141_3763710_1,0.5363165195959491
k141_146531_1,3.486057377373668
k141_683396_1,0.4717864570777198
k141_2292046_1,1.8357512185185831
k141_2424365_1,0.11197329158092721
k141_816941_1,1.0655733400446046
k141_3765247_1,0.4569025116233237
k141_2292975_1,0.05520905348781828
k141_3096029_1,0.9303312843053633
k141_1756010_1,0.0
k141_1355124_1,0.1608949558787847
k141_1355125_1,0.0
k141_2560952_1,0.3126445276164091
k141_685166_1,0.1832470711510564
k141_818134_1,0.20599008192093543
k141_4167066_1,0.3507398692167279
k141_148754_2,0.0
k141_4702477_1,0.24162079879374584
k141_2561748_1,0.5664928966576136
k141_2561754_1,1.865484859956807
k141_2561758_1,0.5753364521362115
k141_2963208_1,0.10765765430124564
k141_1490338_1,1.1496473490992747
k141_1490496_1,0.17619910687601578
k141_417802_1,0.15479173875089236
k141_3097680_1,0.31285130309763687
k141_3498311_1,0.04871387072454554
k141_1757545_1,1.2474896766821917
k141_283636_2,0.12045611670069442
k141_2026035_1,0.6337039182949576
k141_3632703_1,0.02311076657629602
k141_3632713_1,0.05962577776684374
k141_2695509_1,0.26782264245154397
k141_2695525_1,1.0495923427122307
k141_150002_1,0.039356949021018967
k141_284109_1,1.0753763461975039
k141_1624373_1,0.03486887588704312
k141_3633038_1,0.5996619722708483
k141_3231725_1,6.538329334485907
k141_4570562_1,0.39352017072520096
k141_3098895_1,0.12482046875506742
k141_1894050_1,0.6488486698568334
k141_955272_1,0.10890553016775112
k141_1358768_1,0.6867467628972518
k141_1358775_1,0.30421315187165177
k141_1759478_1,0.8833448558050924
k141_4036901_1,1.5153123191337357
k141_553972_1,1.5885959906817386
k141_2297394_1,0.08833448558050924
k141_1759851_1,0.3843561586327501
k141_3367990_1,0.8991188710873264
k141_3368003_1,0.4799807507308283
k141_3099656_1,0.07794219315927287
k141_3099664_1,0.7339556522498194
k141_3368013_1,0.4845212455348828
k141_3368032_1,0.09224803873913939
k141_3368045_1,0.23043778847089366
k141_2162415_1,0.8898400385683651
