ORF,adjCMR
k141_296941_1,0.3075296376380045
k141_1484354_1,0.6010455919555481
k141_1138192_1,0.17758165216868466
k141_536_1,1.1118155614039387
k141_792061_1,0.21997211107346742
k141_594393_1,1.6205970034949593
k141_643883_1,0.4706810659501299
k141_643897_1,0.5348341524139208
k141_693539_1,0.6088513788640617
k141_1732490_1,0.14707939191382824
k141_693608_9,1.8118475815471595
k141_1386344_1,0.2300105209042011
k141_1139258_1,0.28791905204949403
k141_1485636_1,0.16027882452147948
k141_1436358_1,1.114874524853304
k141_991095_1,0.6436942011353383
k141_1189222_1,0.49192768123146074
k141_1189234_1,0.6729409976918576
k141_249334_1,1.2265441638898458
k141_1485897_1,0.14080810649835526
k141_1090550_1,0.03201472039097413
k141_1090554_1,0.240110402932306
k141_1090562_1,0.3841766446916896
k141_1090567_1,0.20809568254133187
k141_51109_1,1.0956404669054962
k141_1436951_1,0.3364704988459288
k141_447321_1,0.34478774713200794
k141_398825_1,1.6037596320300762
k141_497390_1,0.5596512674407031
k141_497569_1,0.08356783631467514
k141_596454_1,0.17575091348653327
k141_101860_2,0.05937058221759009
k141_200635_1,0.9838553624629215
k141_250533_1,0.23677553622491287
k141_349742_1,0.21554738470130003
k141_52066_1,0.09471021448996515
k141_794766_1,0.09092180591036654
k141_52718_1,1.5186293013046137
k141_1043188_2,0.3754583502995047
k141_1290421_1,2.9730771679023844
k141_1290428_1,0.2415110469494111
k141_746775_1,0.1567617343282182
k141_1043535_1,0.16443305324215227
k141_53767_1,1.0471331579564684
k141_203133_1,0.27060061282847186
k141_154101_1,0.5937058221759008
k141_450907_1,0.7103266086747386
k141_450916_1,0.5290708533577364
k141_1095003_1,0.9157591962195192
k141_549953_1,0.16392152507878582
k141_946526_1,0.3560191195285437
k141_105263_1,0.10177814094444015
k141_1194112_1,0.4001840048871767
k141_1391799_1,0.2894915990070633
k141_946990_1,0.575107808469186
k141_1391854_1,0.37884085795986056
k141_650316_1,0.5789831980141266
k141_749684_1,0.07576817159197212
k141_1689070_1,0.46200104629251293
k141_750088_1,0.6408052810172111
k141_1293774_1,0.48708110309124936
k141_898423_1,0.05088907047222008
k141_403957_1,0.4984748131050797
k141_1393141_1,0.40967674174729113
k141_7742_1,0.6345584370827665
k141_948640_1,0.23926791029043826
k141_799870_1,0.5682612869397909
k141_1739671_1,0.30124694729338314
k141_305856_2,0.4402745106020001
k141_1246012_1,0.34440077996350965
k141_1394114_1,0.18184361182073308
k141_899674_1,0.32312896708341055
k141_1098063_1,0.019938992524203187
k141_752064_1,0.7647628534516812
k141_405275_1,0.42804096938321906
k141_1443801_1,0.4892653232844836
k141_256711_1,0.17988127068597698
k141_652843_1,0.3788408579598606
k141_1346077_1,0.4212971610070864
k141_1394887_1,0.16007360195487066
k141_900790_1,0.5624029231569064
k141_1049180_1,0.10607544022876096
k141_1740853_1,0.4744705890953594
k141_357332_1,0.31822632068628287
k141_1445086_2,0.0
k141_1000680_1,0.9165504628061143
k141_951212_1,0.8858190649355565
k141_951213_1,0.10177814094444015
k141_1247841_1,0.2731178278315274
k141_258213_1,2.1562063784818233
k141_1593578_1,0.21997211107346742
k141_208723_1,0.2787696879327276
k141_1100153_1,0.8235670825214361
k141_59624_1,0.3636872236414662
k141_457035_1,0.2025485775230938
k141_358768_1,0.11162275279174463
k141_11642_1,0.0
k141_952580_1,0.15886874688639316
k141_952592_1,0.22730451477591634
k141_705330_1,0.30211359558824324
k141_705341_1,0.159676725255809
k141_1645025_1,0.18288869004958785
k141_508075_1,0.1993899252420319
k141_508075_2,0.12805888156389653
k141_458278_1,0.11699497084054519
k141_1003261_1,0.4625382568114577
k141_112000_1,0.7012586094150611
k141_12969_6,5.327449565060539
k141_1496576_1,0.32472073539416624
k141_954134_1,0.17155057718937083
k141_607237_1,0.013860031388775389
k141_1299996_1,0.4572217251239697
k141_361059_1,0.5391196824813401
