ORF,adjCMR
k141_1357641_1,0.7571634444291105
k141_2262652_1,0.3087792567675219
k141_2338214_1,0.4586154674665082
k141_754807_2,0.0
k141_1659819_1,0.44841794267868834
k141_1811159_1,0.17228689376602235
k141_1811184_1,0.06699155497134637
k141_2263322_3,0.28145559841402534
k141_2339103_1,0.601345069204072
k141_1660576_1,0.03357385622107102
k141_1132914_1,0.11820795211168755
k141_2038227_1,0.1349876693424505
k141_228710_1,0.45585835891276427
k141_2491108_2,0.2460580603584534
k141_1661714_1,0.355727621116897
k141_1964101_1,0.5715549332872805
k141_832306_1,0.6147700623894895
k141_305245_1,0.8025234664456009
k141_1360849_1,0.06061946262137823
k141_2190036_2,0.34359627324117364
k141_984138_1,0.09108733166064488
k141_683035_1,0.20004422665054816
k141_2493036_1,0.37410868360621996
k141_457214_5,76.91553854723365
k141_910168_3,34.71654257637191
k141_2116929_1,0.29097342058261555
k141_1588690_1,0.37266980405388833
k141_1739695_1,0.13587909734754217
k141_2569438_1,0.4041297508091882
k141_1815740_1,2.2552151703509073
k141_1438250_1,0.16367254907772125
k141_2192391_1,0.09220988680435
k141_2192410_1,0.6339063805549838
k141_2192412_1,0.12909384152609
k141_2192417_1,0.0
k141_2192424_1,0.31351361513479
k141_2192429_1,0.0
k141_1212264_1,0.0
k141_81485_1,0.04156763151180222
k141_81485_2,0.0565200169477023
k141_1061952_1,0.6194917986597621
k141_2268211_1,0.21263442273344982
k141_2193232_1,0.1287915140283708
k141_2645956_1,0.4460526612228007
k141_987047_2,0.4523314083602477
k141_2193820_1,0.2606349596687883
k141_1289193_1,0.22174990520207394
k141_912214_1,0.16130048314905862
k141_2496245_1,0.49101764723316366
k141_912532_1,0.33461943367000785
k141_2269814_1,0.14697126855958642
k141_2648050_1,0.45204799269084905
k141_2346444_1,0.30645073018807384
k141_159973_1,0.3312890150006888
k141_159994_1,0.8402441022171785
k141_84582_5,0.0
k141_8891_3,0.6852831961384963
k141_462489_1,0.058848556971764936
k141_1970745_1,0.049723306048927975
k141_236677_1,0.2041396202670161
k141_2197148_1,0.27278758179620205
k141_1066204_1,0.37306368728329753
k141_1745077_1,0.8592808826580365
k141_1292498_1,0.32502350171462374
k141_9789_1,0.21277431380103762
k141_2499858_10,16.40034913747575
k141_765625_1,0.09488263714650506
k141_765636_1,1.944231492074749
k141_1670166_1,0.89110610053426
k141_1670177_1,0.4539185361088802
k141_1218232_1,0.40736278881566174
k141_991747_1,0.5059704480131036
k141_1746770_1,0.057766782027431025
k141_389121_1,0.17293703298778093
k141_2048449_1,0.14679152383652128
k141_1897914_1,0.14548671029130777
k141_1068421_1,0.14210329842406805
k141_390002_1,0.17564858925413987
k141_2652484_1,0.056317436241796553
k141_2274485_1,0.309159259369029
k141_1898895_1,0.025180392165803266
k141_1520904_1,0.3795305485860203
k141_1445933_1,0.06840046827128649
k141_616723_1,0.05455751635924042
k141_13397_1,0.07996216138148213
k141_1145054_1,0.08016614648704715
k141_918975_1,0.03357385622107102
k141_1522124_1,0.13594659814105808
k141_1749181_1,0.8309529414715078
k141_1749192_1,0.4041297508091882
k141_1447270_1,0.6400110439272327
k141_693914_1,0.06418531336381225
k141_618384_1,0.10911503271848082
k141_1523286_1,0.4104028096277189
k141_1599078_2,0.0
k141_995476_1,0.06492795335314562
k141_1223302_1,0.7205056128712386
k141_15984_3,0.0
k141_1675346_1,0.08082595016183765
k141_2353791_1,0.2167848332155248
k141_771504_1,0.5860163994950579
k141_771507_1,0.5437257562581926
k141_921646_1,0.1540447520731494
k141_2429962_2,0.27895495321072494
k141_1977465_1,0.692101064671507
k141_2279018_1,0.0
k141_922368_1,8.753573487730309
k141_17283_1,0.3149142716432105
k141_1828354_1,0.1442537720685001
k141_1828513_1,0.08539437343185455
k141_1978702_1,0.2505604455016967
k141_1074515_1,0.1546512274750122
k141_245180_1,1.2166808957989896
k141_621855_1,0.09933230564716874
k141_546843_1,0.7875972286446735
k141_848707_1,0.19855358412707166
k141_1830038_1,0.5667467371049452
k141_1905164_1,0.03637167757282694
k141_1905169_1,0.0
k141_849158_1,1.0456426358140674
k141_999259_1,0.04805065660997321
k141_1076299_1,0.0
k141_246846_1,0.12620533904788145
k141_548128_2,0.2772805537316689
k141_1679695_1,0.09030209604288068
k141_624385_3,0.1715739824814733
k141_1981346_1,0.025674125345524903
k141_1152233_1,0.13929578644912446
k141_1981350_1,0.06418531336381225
k141_926261_1,0.41291663833715564
k141_2057639_1,0.4564812377947455
k141_1378474_1,0.14548671029130775
k141_1378478_1,0.09092919393206735
k141_1378483_1,0.8838317650196946
k141_1303793_1,0.9844246747448344
k141_399136_1,0.2099006736263906
k141_1756904_1,0.01897652742930101
k141_1229706_1,0.6268310390210601
k141_1530709_2,0.5455751635924042
k141_1606188_1,0.08016614648704715
k141_1606188_2,0.06061946262137823
k141_702785_1,0.14548671029130775
k141_1984188_2,0.31351361513479
k141_1909453_2,0.05455751635924041
k141_628000_1,0.04156763151180222
k141_2664551_1,0.2436056544412595
k141_23997_1,0.19255594009143673
k141_1306757_1,0.4551655650542343
k141_704496_1,0.48857477336633204
k141_327240_1,0.19478386005943685
k141_2439086_1,0.29679288899426787
k141_1760662_1,0.1028798879917105
k141_25104_2,0.29338813776587375
k141_101078_1,0.14155463704019133
k141_1082134_1,0.08802557261322823
k141_2287809_1,0.42238077181347417
k141_2212878_1,0.1053524453833608
k141_2212878_2,0.24468219458083582
k141_1912127_1,0.205759775983421
k141_176944_2,0.32197878507092703
k141_2062938_1,0.6825493536007099
k141_1987066_1,0.22803815826558912
k141_2288829_1,0.14548671029130777
k141_1610609_1,0.10072156866321308
k141_1083201_1,0.11849596313319184
k141_1536032_1,0.10371329842548672
k141_555437_1,0.14063715328159748
k141_1083369_1,0.07376790944348
k141_479861_1,2.6633987531738272
k141_2517279_1,0.424663911120574
k141_1008048_1,0.13878225359585578
k141_2290062_1,0.12470289453540666
k141_2668157_5,0.5246807956250354
k141_708003_1,2.252134275309444
k141_2593548_1,0.1797188774186743
k141_28164_1,0.055956427035118377
k141_2593832_1,0.7028291813337442
k141_104666_1,0.08057725493057045
k141_406351_1,0.1274618081313227
k141_104684_1,0.20481927929279078
k141_633386_1,0.0770223760365747
k141_557862_1,0.015404475207314939
k141_1840383_1,0.1895155831426246
k141_1010278_1,0.15712564711461238
k141_2142312_3,0.130938039262177
k141_407497_1,0.5279759647668427
k141_105884_1,1.1793709919359203
k141_1086780_1,0.5951729057371682
k141_2218332_1,0.4736056739270232
k141_1690634_1,0.0
k141_1690637_1,0.31097784324767036
k141_483806_1,0.21823006543696163
k141_1388768_1,0.3080895041462988
k141_1388783_1,0.052375215704870796
k141_1162936_2,0.5029936874095823
k141_2068767_1,0.10371329842548672
k141_2370024_1,0.19161664282269802
k141_2370071_1,0.20248150401367576
k141_1088453_1,0.16367254907772122
k141_259792_1,0.29224682723724404
k141_2294541_1,0.5373757680702062
k141_1390049_1,0.34823946612281115
k141_108506_1,0.5237521570487079
k141_2220849_1,0.0
k141_788967_1,0.04910176472331637
k141_789429_1,0.19115042228055037
k141_1693637_1,0.08137392270530773
k141_1693654_1,0.2511140479000655
k141_2673863_1,0.11750849677374858
k141_1241843_1,0.1658167309433682
k141_1544015_1,0.1753634454404156
k141_563125_2,0.0396781937158112
k141_1015290_2,0.08447615436269483
k141_33983_1,0.8810783950352096
k141_1467375_1,0.4492971935466858
k141_1467386_1,0.28135446453029767
k141_337871_1,0.5011208910033934
k141_1091570_1,0.5878850742383457
k141_34610_1,0.3343098874778987
k141_488141_1,0.9760835654089557
k141_1317271_1,0.09750705051438713
k141_1317274_1,0.22130372833043999
k141_865325_13,0.7814044278549273
k141_716143_1,0.2774111001317309
k141_339111_1,0.5175416571627549
k141_2525986_1,0.34090377086010576
k141_2601859_1,0.17369331738860214
k141_2601867_1,0.13929578644912446
k141_1017635_1,0.0
k141_1696690_1,0.160584387774368
k141_1319111_1,0.0793563874316224
k141_1621246_1,0.2254562265441458
k141_1772770_1,0.0
k141_1168753_1,0.17855187172115042
k141_2527040_1,0.13380529559638527
k141_340642_1,0.11424124230928194
k141_718541_1,0.1546512274750122
k141_1998914_1,0.29888030701149093
k141_2603635_1,0.2799364977329301
k141_2603825_1,1.3742012041376992
k141_491859_1,0.09352717090155499
k141_2377553_2,0.03688395472174
k141_720262_1,0.0793563874316224
k141_643375_1,0.07778497381911505
k141_795305_1,0.0
k141_795308_1,0.07274335514565387
k141_1096809_1,0.130938039262177
k141_2078164_1,1.3602301166070812
k141_1322616_1,0.09465400428591109
k141_1322640_1,0.49263816752106193
k141_569208_2,0.5460644686718591
k141_116140_1,0.1651470765468899
