COG	GC127836	GC127826	GC127844	GC127827	GC127837	GC127845	GC127855	GC127871	GC127868	GC127847	GC127835	GC127825	GC127846	GC127856	GC127834	GC125610	GC127828	GC127838	GC127853	GC127843	GC127831	GC127852	GC127830	GC125618	GC127839	GC127829	GC125611	GC127864	GC127874	GC127832	GC127840	GC127849	GC127866	GC127848	GC125612	GC127867	GC127833	GC127841
COG2801	232513.0	421769.0	151164.0	171890.0	104192.0	90500.0	2541549.0	3841375.0	1330593.0	262834.0	167059.0	58815.0	36086.0	1034560.0	222633.0	70678.0	103520.0	239562.0	305469.0	335551.0	432664.0	840385.0	113089.0	123800.0	148387.0	143059.0	115829.0	70588.0	6780143.0	169911.0	108316.0	98246.0	460596.0	173881.0	327377.0	1099345.0	191076.0	112609.0
COG3503	787.0	332.0	1164.0	687.0	354.0	550.0	377.0	154.0	0.0	456.0	500.0	0.0	980.0	36.0	288.0	128.0	49.0	1079.0	3058.0	514.0	317.0	143.0	855.0	0.0	900.0	682.0	170.0	140.0	188.0	386.0	160.0	447.0	628.0	763.0	809.0	432.0	699.0	328.0
COG1404	272464.0	107999.0	333847.0	174513.0	168189.0	113678.0	47580.0	8975.0	9054.0	16599.0	243894.0	54359.0	35808.0	12147.0	189045.0	79691.0	87765.0	400091.0	27965.0	176858.0	144618.0	12103.0	346174.0	12701.0	337294.0	182514.0	143208.0	118012.0	13500.0	256148.0	123385.0	20156.0	16215.0	25579.0	226584.0	18926.0	250223.0	149171.0
COG1181	39071.0	47176.0	36529.0	31033.0	20554.0	19386.0	11671.0	960.0	430.0	6711.0	32520.0	5536.0	10869.0	175.0	35703.0	11431.0	15869.0	51405.0	7092.0	49485.0	38498.0	750.0	27377.0	939.0	35315.0	25631.0	26735.0	26890.0	2342.0	31422.0	19237.0	11880.0	5869.0	11345.0	50694.0	5839.0	42908.0	20438.0
COG4942	10996.0	7576.0	16050.0	9186.0	4318.0	7001.0	1598.0	200.0	140.0	351.0	5254.0	1250.0	1624.0	461.0	15998.0	2881.0	5617.0	12798.0	76.0	7093.0	30791.0	132.0	11283.0	463.0	9801.0	6638.0	12276.0	136.0	803.0	15650.0	3675.0	398.0	482.0	853.0	8615.0	782.0	12817.0	3791.0
COG0457	295516.0	291246.0	384306.0	234498.0	142558.0	156443.0	101310.0	10084.0	30649.0	53711.0	225814.0	47704.0	127182.0	34662.0	355176.0	87057.0	115894.0	365981.0	61520.0	324094.0	398014.0	33075.0	302129.0	39967.0	313861.0	210060.0	243173.0	104702.0	20040.0	348202.0	127561.0	85120.0	55575.0	91267.0	349664.0	46405.0	338304.0	133752.0
COG0766	11527.0	7615.0	10234.0	8613.0	5115.0	9177.0	11257.0	409.0	982.0	3160.0	6535.0	1354.0	5842.0	1101.0	6401.0	2306.0	4091.0	13244.0	3169.0	6574.0	7578.0	1040.0	7099.0	1249.0	9006.0	8291.0	5519.0	12011.0	1565.0	7917.0	3520.0	5540.0	3645.0	5544.0	9802.0	3787.0	12141.0	4031.0
COG0842	13149.0	5888.0	13723.0	8447.0	9008.0	5068.0	9552.0	568.0	413.0	3337.0	14077.0	3596.0	9783.0	279.0	8070.0	4132.0	3855.0	24390.0	2557.0	8536.0	31410.0	420.0	15656.0	712.0	16974.0	9421.0	6960.0	74147.0	1701.0	10333.0	6666.0	5037.0	2372.0	5326.0	10302.0	4256.0	10657.0	9562.0
COG3696	17896.0	6160.0	26107.0	11919.0	6970.0	8160.0	6391.0	274.0	380.0	7914.0	10503.0	696.0	15366.0	252.0	12212.0	3827.0	5099.0	24189.0	3405.0	10197.0	47137.0	1331.0	21893.0	6001.0	18767.0	8307.0	11465.0	172.0	1050.0	16652.0	4508.0	9692.0	1991.0	12112.0	10687.0	6053.0	20065.0	6714.0
COG0845	223283.0	191919.0	231712.0	160235.0	120805.0	100255.0	75330.0	1928.0	2684.0	34428.0	203076.0	32190.0	73133.0	1791.0	183295.0	63537.0	77576.0	360237.0	20814.0	257524.0	231042.0	4002.0	182461.0	10672.0	222791.0	132703.0	147161.0	1361.0	5243.0	206224.0	107830.0	66308.0	24899.0	64797.0	268737.0	32240.0	245085.0	124077.0
